taskLabel,Claude--claude-2.1--claude-2.1,Claude--claude-3-haiku-20240307--claude-3-haiku-20240307,Claude--claude-3-opus-20240229--claude-3-opus-20240229,Claude--claude-3-sonnet-20240229--claude-3-sonnet-20240229,GPT--gpt-3.5-turbo-0125--gpt-3.5-turbo-0125,GPT--gpt-4-1106-preview--gpt-4-1106-preview,GPT--gpt-4-turbo-2024-04-09--gpt-4-turbo-2024-04-09,Google--gemini-1.0-pro,Google--models/gemini-1.5-pro-latest
Text2SparqlExecEvalListBeastiaryIris,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListBeastiaryTurtleSchema,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListBeastiaryTurtleSubgraph,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListBeastiaryTurtleSubschema,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListCoypuMiniIris,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListCoypuMiniJsonldGraph,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListCoypuMiniJsonldMSchema,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListCoypuMiniTurtleGraph,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListCoypuMiniTurtleMSchema,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListLcQuad,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListOrgaNumerical,50,50,50,50,50,50,50,50,50
Text2SparqlExecEvalListOrganizational,50,50,50,50,50,50,50,50,50
